show_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
s13,s3588,s8241,s5717,s5575,s1803,s5224,s6517,s6531,s3024,s7281,s7579,s8422,s7353,s7927,s8277,s4992,s1161,s3949,s559,s440
s14,s3192,s5329,s4105,s5051,s5283,s8131,s3326,s3411,s2100,s3040,s6098,s3610,s2497,s6797,s312,s4711,s2185,s6094,s512,s8171
s15,s7569,s6150,s1292,s8759,s7147,s6363,s1639,s4549,s4069,s5055,s352,s618,s6078,s208,s4131,s1738,s762,s2448,s430,s5166
s16,s8755,s4632,s6981,s6085,s1044,s5066,s4390,s4603,s8712,s3439,s1498,s3462,s1731,s2296,s2829,s2576,s7839,s5367,s8225,s4332
s17,s7274,s20,s1538,s6313,s3569,s3570,s7030,s2768,s6283,s7267,s1252,s8371,s2563,s4706,s2581,s8669,s5613,s7535,s8179,s118
s18,s1926,s1051,s503,s4027,s3168,s3626,s4077,s5627,s6081,s6288,s2528,s7041,s873,s1448,s2444,s7464,s2080,s4367,s7387,s3288
s19,s308,s1118,s2706,s2980,s8014,s4709,s6288,s1810,s5208,s8212,s2514,s4478,s764,s1516,s6300,s1016,s191,s354,s7010,s963
s20,s1706,s6590,s5959,s3632,s4523,s5966,s17,s6967,s3344,s7336,s3255,s1289,s3180,s6336,s2317,s260,s7267,s133,s868,s4706
s21,s1542,s4023,s8002,s316,s309,s4596,s3074,s8504,s440,s3582,s7203,s4192,s7350,s8804,s6300,s794,s8277,s6056,s4396,s1646
s22,s7130,s7246,s1306,s2958,s7207,s2374,s1476,s8122,s1391,s6088,s3129,s6654,s620,s7285,s7171,s4271,s4557,s2473,s902,s6326
s23,s6791,s6900,s490,s4017,s6638,s8226,s2415,s2490,s2547,s3658,s2502,s130,s7726,s3840,s8667,s4022,s8018,s3217,s4123,s7737
s24,s2580,s255,s1893,s8597,s35,s5036,s7458,s6250,s5389,s523,s3910,s510,s1566,s7303,s6223,s1636,s2239,s8071,s873,s3006
s25,s3422,s124,s3198,s3651,s5538,s2909,s4576,s2134,s2074,s181,s1796,s5461,s8750,s6572,s6865,s5463,s4564,s3777,s5295,s3951
s26,s6667,s5680,s478,s2417,s398,s4840,s6628,s773,s8654,s5402,s6030,s3438,s7197,s5248,s4871,s3962,s7809,s725,s3425,s5533
s27,s7321,s7834,s4585,s4691,s8510,s4282,s439,s1851,s5483,s7312,s2330,s6734,s8108,s2634,s7874,s4915,s7825,s8551,s1475,s7916
s28,s2675,s5688,s4120,s155,s2644,s3277,s296,s2106,s1101,s6946,s6511,s5838,s2409,s7969,s3308,s6503,s815,s5144,s8602,s2420
s29,s2514,s507,s8090,s3959,s1191,s4752,s7479,s7832,s7218,s8692,s6912,s6038,s7806,s6367,s6329,s2556,s8589,s720,s7773,s1834
s30,s2883,s1946,s3466,s6717,s2453,s898,s1920,s3763,s7421,s2638,s2692,s6420,s7432,s631,s3889,s7684,s3631,s6809,s4827,s8108
s31,s2943,s4738,s8381,s4098,s6953,s7738,s6287,s7049,s3550,s6959,s4210,s7540,s4463,s740,s5411,s6506,s344,s1126,s3123,s7534
s32,s3561,s426,s7797,s3167,s3709,s5534,s983,s8800,s1019,s6754,s224,s3947,s5486,s6425,s7302,s3368,s7528,s6674,s3048,s5360
s34,s1012,s1441,s1243,s5904,s1616,s2915,s835,s4790,s5412,s2828,s2592,s1563,s7404,s1612,s2053,s8073,s3739,s4897,s6764,s5421
s35,s105,s1552,s8670,s8785,s24,s8163,s938,s3344,s2108,s1006,s3714,s7303,s7491,s566,s1025,s4354,s1589,s6110,s3742,s7074
s36,s8687,s7804,s2273,s4861,s4175,s1259,s8660,s4343,s4682,s1763,s142,s6209,s4347,s864,s8768,s514,s4107,s5190,s6655,s6025
s37,s3091,s2728,s3994,s8698,s1143,s2630,s4984,s552,s8446,s8489,s8687,s1269,s7671,s1214,s1046,s1781,s2365,s3421,s5028,s4131
s38,s1170,s8191,s338,s6405,s2216,s8425,s584,s8580,s2226,s734,s3398,s6819,s4148,s6260,s6484,s3868,s2543,s8785,s1649,s8173
s39,s424,s8304,s3488,s6702,s5387,s7391,s2221,s7348,s5858,s6615,s2917,s4596,s574,s575,s3057,s3800,s296,s7285,s7241,s6484
s40,s105,s8785,s2293,s3989,s418,s1351,s90,s878,s2194,s5430,s1159,s7785,s6110,s4893,s734,s7824,s2217,s1615,s781,s3767
s41,s5808,s3523,s1004,s1107,s2357,s7829,s6772,s2385,s2861,s4771,s400,s7786,s5828,s3192,s3734,s8798,s4656,s7628,s5865,s4853
s42,s45,s43,s44,s5456,s7062,s8116,s5785,s3512,s1408,s7492,s3538,s8060,s2173,s7187,s4203,s8668,s7853,s5370,s8653,s4144
s43,s45,s42,s44,s4440,s92,s8668,s8653,s5576,s8584,s1433,s3512,s7062,s2554,s3103,s668,s4852,s3747,s1123,s7441,s7837
s44,s45,s6799,s42,s43,s3056,s8624,s8708,s5225,s3473,s5576,s8558,s7062,s5949,s6131,s3696,s514,s2546,s1123,s7371,s300
s45,s43,s42,s44,s7062,s8060,s8116,s5785,s3512,s1408,s3538,s2173,s7187,s4203,s8668,s7853,s5370,s5576,s112,s3103,s3931
s46,s8042,s2940,s3373,s1248,s8305,s1279,s2121,s2291,s1892,s2855,s3473,s1941,s7878,s543,s2769,s5979,s4845,s3533,s3909,s6268
s47,s4598,s956,s1998,s6922,s229,s4830,s4496,s6135,s7268,s4094,s273,s4758,s1299,s4680,s608,s3870,s494,s3295,s4559,s8148
s48,s3856,s6842,s3973,s6719,s4870,s2509,s6216,s6418,s294,s7944,s3986,s3837,s4054,s1364,s5279,s7191,s4078,s710,s5521,s7335
s49,s7336,s4334,s1640,s6164,s7673,s1258,s6655,s4934,s7913,s6952,s1770,s7940,s6089,s4861,s8459,s8069,s151,s3478,s5405,s7472
s50,s5596,s5243,s5606,s794,s5217,s732,s535,s2728,s7096,s5544,s1902,s3750,s2514,s3999,s2893,s8744,s682,s8670,s1736,s1691
s51,s5678,s3001,s6158,s5131,s1123,s8335,s1351,s6174,s6550,s6778,s8501,s8701,s611,s3683,s6966,s7053,s5294,s4731,s1155,s1879
s52,s7091,s8785,s2115,s4771,s2960,s2192,s7299,s6041,s7159,s7666,s1397,s3129,s8465,s8191,s2194,s2351,s1073,s562,s897,s162
s53,s7090,s55,s1123,s4745,s3422,s2893,s582,s2527,s2920,s95,s5828,s1169,s7745,s78,s2718,s2012,s5200,s5093,s1275,s254
s54,s7089,s5673,s3958,s7184,s2801,s8685,s55,s753,s764,s2798,s1474,s1796,s4813,s112,s3282,s6221,s6283,s8806,s52,s7091
s55,s7090,s53,s1984,s1537,s582,s628,s8628,s4244,s1482,s417,s4756,s2115,s5303,s4539,s6958,s3699,s3885,s2972,s3542,s1386
s56,s3378,s1441,s6691,s2890,s354,s2449,s2828,s1998,s2298,s7300,s6764,s8079,s313,s5762,s1463,s8194,s1508,s2246,s6002,s6968
s57,s7560,s3542,s60,s58,s63,s3793,s1351,s5545,s8625,s55,s2873,s6593,s64,s3636,s59,s62,s4244,s8799,s3737,s2541
s58,s60,s62,s64,s3542,s7560,s57,s8161,s5399,s63,s61,s377,s1483,s1495,s1396,s1351,s4186,s2982,s1433,s6828,s5007
s59,s4426,s6167,s4652,s5893,s3282,s2550,s938,s191,s7549,s99,s3137,s4692,s870,s6326,s4383,s1760,s3224,s2799,s3392,s7370
s60,s58,s3542,s64,s2519,s7560,s57,s5302,s63,s55,s3169,s4186,s3961,s7053,s7780,s3145,s3339,s3017,s5288,s59,s6304
s61,s5950,s2406,s8700,s1644,s8485,s5917,s62,s58,s7030,s3081,s5447,s1116,s6618,s5543,s487,s6503,s6575,s3604,s2631,s472
s62,s58,s406,s61,s1354,s3265,s702,s7271,s5093,s4598,s632,s1408,s5141,s2999,s8574,s3542,s2972,s3151,s64,s8161,s4218
s63,s64,s3542,s60,s58,s3807,s7560,s57,s1828,s7796,s1425,s7832,s2822,s4453,s4425,s1802,s3713,s3434,s6840,s7003,s59
s64,s58,s63,s60,s591,s2345,s388,s6503,s6534,s6056,s2313,s1055,s8764,s781,s602,s1237,s6238,s3278,s3542,s4556,s7485
s65,s3742,s6647,s6462,s2583,s6582,s3409,s7215,s2997,s1365,s4617,s7314,s2696,s7000,s5657,s8715,s8785,s5919,s4897,s5318,s6167
s66,s5839,s3481,s3452,s3862,s7314,s313,s2935,s4857,s5021,s3876,s1995,s3036,s7277,s2968,s4967,s1721,s3005,s2081,s4434,s2137
s67,s5315,s7943,s1668,s4726,s4522,s4152,s4956,s2075,s5473,s5800,s3823,s7081,s5768,s6232,s127,s5431,s2344,s6437,s7293,s7835
s68,s1548,s4442,s7267,s107,s763,s3986,s1272,s2548,s3468,s5157,s3315,s3548,s3464,s6529,s7522,s3579,s2176,s5695,s4921,s2230
s69,s7011,s4173,s7037,s6454,s2633,s97,s7013,s3245,s6608,s4301,s1905,s7653,s4463,s4302,s7709,s6207,s598,s1249,s1208,s7472
s70,s1100,s7846,s2489,s3687,s1699,s3262,s8440,s1147,s6067,s7232,s498,s7994,s6830,s7171,s5844,s8330,s1894,s6287,s1031,s5351
s72,s103,s5651,s5497,s510,s2663,s2156,s2250,s869,s7329,s3604,s4136,s6174,s1408,s8472,s8063,s7728,s4896,s4709,s420,s1191
s73,s3158,s1264,s2222,s1768,s5205,s1861,s2001,s2192,s7715,s3190,s6961,s6130,s8631,s1524,s6686,s1181,s3135,s8794,s3972,s6613
s74,s4317,s3164,s4381,s4258,s3525,s8201,s8799,s5406,s4189,s5080,s3289,s7646,s4330,s5748,s799,s209,s7039,s6961,s7103,s7771
s75,s1095,s6369,s2785,s1314,s4697,s6273,s4409,s1869,s7901,s6291,s5263,s4362,s3706,s6456,s8229,s546,s72,s2195,s2705,s1921
s76,s1097,s3932,s5957,s940,s2829,s4986,s1305,s7282,s6223,s6291,s6787,s7186,s4512,s3950,s4068,s2927,s7327,s3107,s7393,s7253
s77,s832,s944,s1523,s769,s4718,s5591,s6036,s3665,s6771,s2564,s5534,s804,s2820,s7458,s518,s3136,s349,s273,s2138,s734
s78,s2115,s7318,s3391,s2293,s7320,s7319,s1077,s1010,s582,s862,s417,s146,s6736,s4639,s3923,s6727,s8108,s2133,s3471,s6036
s79,s80,s7469,s7367,s7864,s3487,s3103,s167,s1339,s2873,s4003,s7645,s2617,s4633,s3065,s6324,s8040,s8174,s2327,s2337,s5195
s80,s79,s7469,s7367,s7864,s3487,s3103,s167,s1339,s2873,s4003,s7645,s2617,s4633,s3065,s6324,s8040,s8174,s2327,s2337,s5195
s81,s280,s1340,s3006,s2209,s1169,s4471,s8061,s2011,s1810,s7263,s3329,s3665,s7795,s7995,s8272,s7703,s2644,s7289,s3069,s6425
s82,s6004,s917,s8750,s3746,s6578,s7198,s803,s4046,s4171,s7584,s8167,s115,s3431,s8018,s3512,s3832,s3035,s1711,s1863,s265
s83,s1253,s930,s5494,s1613,s1825,s7868,s6124,s8684,s6265,s6916,s1232,s5580,s6277,s6808,s2010,s5650,s316,s2943,s138,s7579
s84,s1755,s367,s343,s6072,s3378,s8031,s2828,s909,s3283,s1616,s4971,s1621,s2567,s1117,s658,s1384,s2036,s7709,s8131,s1463
s85,s7580,s1866,s7593,s4281,s4457,s2191,s3788,s5052,s3091,s1973,s1880,s2733,s1420,s3280,s6852,s6723,s6380,s2638,s5715,s2405
s86,s5099,s1236,s4224,s2740,s2877,s4290,s3070,s3020,s4178,s2004,s1786,s1682,s7858,s365,s7013,s4263,s2340,s1641,s3057,s562
s87,s985,s5043,s5506,s3784,s6118,s6957,s4269,s2289,s7844,s3546,s938,s1158,s2704,s6395,s478,s5771,s6926,s7817,s480,s2075
s88,s8613,s5036,s7927,s215,s4823,s8335,s4290,s217,s7193,s8526,s6231,s8614,s3086,s4452,s7283,s7392,s5556,s1074,s5747,s8161
s89,s8225,s6961,s7426,s2061,s741,s2945,s362,s4415,s3848,s2605,s5730,s5481,s5550,s180,s6414,s3717,s3964,s8324,s1939,s1624
s90,s7377,s4914,s40,s164,s5248,s752,s1351,s2038,s989,s7551,s1676,s4718,s3037,s7817,s2283,s8281,s3634,s1950,s2695,s5249
s91,s5368,s158,s7809,s4997,s4137,s3906,s7701,s4056,s5878,s1908,s836,s8527,s2906,s3601,s6762,s4304,s6954,s1737,s2314,s8780
s92,s5104,s4440,s1542,s7214,s1858,s43,s524,s1140,s2336,s2335,s6025,s5276,s2991,s5964,s6604,s1495,s8653,s1187,s1368,s7441
s93,s5683,s1403,s2851,s397,s2382,s4211,s3754,s8526,s2819,s7618,s2108,s2411,s3358,s1075,s3392,s6672,s634,s714,s5264,s98
s94,s6894,s116,s1810,s7139,s7043,s5016,s2278,s8376,s371,s6454,s7623,s918,s2145,s3360,s4058,s5504,s2582,s1614,s4267,s2136
s95,s2893,s5242,s3813,s1275,s6634,s6587,s6512,s3961,s406,s4978,s1320,s1373,s1486,s7049,s5056,s830,s53,s7090,s912,s1090
s96,s2700,s2828,s1616,s2921,s440,s8337,s2306,s2145,s1774,s1698,s7084,s1919,s2832,s120,s5024,s4721,s3974,s8479,s6764,s3026
s97,s5907,s2633,s6454,s69,s7011,s7013,s6608,s1905,s7037,s2385,s4173,s4481,s1249,s6977,s2836,s1927,s5603,s7472,s5968,s1043
s98,s1075,s629,s3465,s2383,s5564,s3533,s2581,s2412,s2963,s2948,s5244,s4689,s8791,s5602,s3823,s2028,s203,s7553,s1716,s5429
s99,s4828,s6762,s2176,s2132,s8215,s692,s7892,s7302,s7580,s938,s8785,s1860,s937,s4426,s589,s59,s6326,s5273,s103,s2100
s100,s4213,s3851,s2821,s5773,s6000,s2008,s1466,s3889,s8565,s1432,s2939,s3681,s7439,s5700,s995,s7751,s4755,s2921,s6747,s7548
s101,s8601,s4408,s5048,s5459,s1180,s6168,s5458,s7030,s938,s3086,s3149,s836,s4897,s3852,s536,s8243,s2784,s5299,s7489,s6839
s102,s2628,s3076,s8699,s7592,s3185,s4888,s3562,s7178,s4741,s763,s6488,s3969,s7244,s2223,s1606,s7262,s445,s7365,s1793,s4162
s103,s72,s5651,s7619,s6476,s6529,s2171,s5999,s2404,s6672,s99,s2250,s7329,s3604,s4136,s5497,s1410,s1991,s3293,s5246,s8052
s104,s2616,s113,s1698,s668,s8668,s254,s7728,s4842,s2605,s8084,s2332,s1598,s3133,s1689,s2579,s7513,s3183,s1489,s4039,s7022
s105,s8785,s40,s35,s5273,s781,s1232,s1816,s2415,s4893,s3630,s734,s6259,s2085,s3782,s1159,s3863,s2239,s1957,s2157,s5981
s106,s7549,s5255,s1600,s6534,s4524,s622,s1657,s1146,s2210,s1229,s1063,s7536,s6687,s1501,s516,s1295,s4616,s8032,s2813,s2612
s107,s6235,s68,s480,s6791,s5090,s3515,s2138,s3799,s7146,s5529,s2564,s5206,s6411,s6875,s3795,s3110,s5901,s1157,s5357,s5092
s108,s4385,s2381,s1355,s4523,s5966,s247,s2100,s8700,s2229,s3200,s5782,s2440,s3658,s8359,s3550,s137,s4879,s7358,s3255,s2095
s109,s7408,s2,s4130,s8684,s3841,s1259,s4102,s8751,s1803,s2730,s4045,s2185,s4107,s5377,s8798,s8311,s4992,s7804,s397,s7492
s110,s7978,s5643,s4997,s8670,s7746,s7783,s3135,s5847,s7717,s3079,s364,s3495,s7802,s8006,s2075,s4352,s5215,s2762,s1138,s1196
s111,s2712,s2581,s267,s1146,s4615,s1459,s6705,s1563,s901,s2651,s866,s7996,s5071,s2038,s1547,s752,s1224,s4808,s512,s7026
s112,s764,s753,s2798,s1474,s6221,s8685,s6222,s5321,s2173,s5710,s1849,s3332,s45,s4039,s7368,s8297,s3087,s2676,s1699,s4602
s113,s6541,s2891,s2060,s182,s1705,s4596,s104,s5647,s5945,s5678,s1726,s1345,s3031,s307,s3096,s3967,s5596,s5669,s2917,s5966
s114,s5700,s6625,s8357,s2283,s6755,s4023,s3036,s2625,s5022,s3980,s2811,s4071,s5547,s6237,s7593,s3037,s378,s8800,s3861,s1357
s115,s3358,s7666,s560,s7114,s7257,s7060,s5291,s1781,s4596,s3914,s1944,s4046,s917,s7584,s3431,s3512,s1863,s8750,s5141,s7771
s116,s7811,s94,s7174,s5514,s799,s8200,s2582,s6518,s5356,s5701,s6750,s5951,s7335,s6423,s344,s1504,s3532,s4681,s6924,s1123
s117,s3377,s2512,s4107,s7838,s4412,s6622,s6654,s6574,s5411,s1448,s8653,s8184,s1333,s6776,s1001,s1778,s7474,s2075,s7458,s4606
s118,s7274,s7706,s2836,s3872,s4306,s7201,s1813,s868,s5613,s7076,s5163,s7341,s1040,s1036,s4872,s7210,s3792,s5219,s6207,s8105
s119,s1319,s5501,s1748,s6481,s3344,s4028,s5594,s439,s4488,s3232,s5295,s7718,s2706,s2442,s2490,s4846,s5616,s7058,s4491,s7388
s120,s6762,s7084,s974,s3271,s3467,s2700,s5129,s1877,s4914,s4683,s252,s3015,s1071,s4330,s4325,s773,s4005,s5232,s5027,s2348
s121,s937,s378,s133,s2406,s589,s3063,s2796,s4512,s1036,s2155,s6771,s7817,s1666,s3649,s6174,s1305,s3456,s1495,s1419,s4943
s122,s4565,s8316,s3723,s518,s5403,s8270,s972,s5890,s8788,s2628,s2554,s1726,s2320,s1260,s1068,s2294,s1659,s7491,s856,s2809
s123,s403,s4680,s2288,s3308,s8245,s7100,s1803,s7144,s5515,s620,s2535,s5403,s6742,s4946,s8523,s5482,s1992,s3300,s2095,s4998
s124,s25,s6298,s3422,s5844,s289,s2226,s2157,s7512,s2081,s8582,s4561,s2019,s7653,s1207,s2293,s5593,s8539,s2753,s1988,s6418
s125,s7596,s7597,s7393,s2968,s8597,s1752,s6259,s2584,s2927,s5868,s4056,s6869,s928,s734,s406,s3770,s781,s3862,s2239,s2081
s127,s1562,s5901,s5617,s3348,s695,s1722,s3515,s357,s8156,s2259,s8751,s3609,s1595,s5431,s4526,s8401,s5803,s8428,s2179,s67
s128,s4422,s2451,s5626,s748,s4611,s3056,s2281,s4423,s2179,s1900,s7829,s5382,s5618,s2857,s906,s2435,s525,s4128,s2023,s1380
s129,s7167,s7683,s7007,s1489,s5588,s7403,s1321,s4186,s1067,s1847,s7687,s3663,s2811,s1588,s8245,s1382,s1355,s6036,s2191,s8807
s130,s5547,s818,s703,s3983,s4919,s6596,s7691,s6337,s5287,s4042,s5166,s7906,s8567,s6510,s972,s3064,s1341,s8201,s7459,s7138
s131,s6239,s6235,s5393,s2786,s5270,s3723,s2062,s8785,s6242,s4115,s2168,s6243,s6244,s1027,s6240,s1372,s198,s2472,s1370,s5369
s132,s7868,s1232,s2010,s316,s138,s7579,s3738,s3123,s5995,s5945,s1112,s83,s7586,s6580,s6292,s2827,s621,s1917,s6840,s2962
s133,s2406,s2801,s7218,s4139,s7865,s6110,s4787,s1892,s7057,s3015,s956,s6169,s4623,s2895,s5821,s2657,s1660,s7030,s787,s2372
s134,s6128,s6069,s4777,s5999,s8026,s6717,s4823,s543,s1958,s6809,s3765,s5475,s5113,s352,s8152,s3589,s6003,s8743,s3079,s3309
s135,s6673,s609,s7268,s4679,s7715,s7674,s3976,s2922,s3042,s7464,s5069,s3755,s6420,s1322,s2088,s3024,s2210,s3961,s3704,s6560
s136,s4372,s7776,s8222,s8526,s8457,s6723,s6236,s2531,s8033,s8360,s1448,s5540,s8104,s1418,s66,s2182,s8284,s7078,s5534,s6902
s137,s2229,s7538,s2465,s5892,s6956,s1252,s2567,s3084,s1729,s7752,s286,s6975,s702,s2698,s3722,s4883,s597,s747,s5287,s5161
s138,s1232,s526,s4787,s1602,s7868,s2010,s818,s7579,s3693,s3123,s5945,s3150,s621,s6541,s316,s6584,s602,s3645,s1372,s5995
s139,s3867,s5154,s1238,s8637,s3743,s5599,s7953,s8466,s2217,s7807,s5987,s5892,s1821,s286,s6003,s5439,s1207,s3110,s201,s1460
s140,s743,s5443,s5515,s6403,s6085,s8009,s929,s8676,s1731,s4468,s1331,s8555,s2237,s3510,s5183,s5414,s1954,s2176,s5967,s3963
s141,s2722,s674,s435,s5552,s4888,s6982,s3355,s1251,s191,s4465,s164,s2401,s1690,s5955,s2009,s5335,s5337,s5336,s3453,s1214
s142,s6087,s1634,s7064,s2242,s6512,s7329,s1765,s8687,s374,s4581,s6554,s6671,s229,s36,s1998,s7338,s7993,s6531,s351,s6124
s143,s2305,s5923,s7471,s7866,s330,s3994,s1580,s2492,s8203,s6000,s7139,s3945,s7951,s7079,s1545,s2925,s5602,s2344,s5682,s3113
s144,s5683,s1180,s1351,s8589,s942,s6114,s2191,s29,s6201,s1191,s1406,s8161,s1737,s6073,s5592,s8603,s4861,s882,s5546,s3324
s145,s4869,s146,s7729,s200,s3373,s2735,s147,s6001,s4761,s3322,s629,s5905,s7568,s6727,s3071,s2115,s7211,s4594,s353,s1234
s146,s147,s7320,s7211,s78,s145,s4392,s3920,s7841,s629,s8073,s4931,s5528,s6072,s2363,s5974,s6992,s1049,s7568,s1405,s3400
s147,s3065,s899,s3150,s1110,s7251,s146,s797,s1217,s2115,s6389,s145,s119,s6303,s3549,s8800,s78,s473,s629,s4402,s4597
s148,s2573,s6387,s1402,s1622,s6153,s2944,s6426,s4623,s8088,s1071,s6105,s3015,s4416,s6773,s6905,s1259,s5679,s7084,s2199,s4037
s149,s7005,s496,s633,s4949,s2772,s4533,s6264,s3361,s4215,s8464,s2354,s4344,s7111,s4600,s6748,s2022,s2908,s4020,s1226,s978
s150,s6658,s7739,s5813,s3056,s4417,s6417,s905,s7570,s4295,s4384,s5440,s6650,s857,s2830,s1146,s97,s1369,s6087,s4457,s6531
s151,s347,s3478,s7336,s6497,s4361,s5513,s688,s1770,s2982,s6742,s3553,s6730,s6453,s7310,s1760,s3091,s1906,s3134,s6925,s1739
s152,s3792,s3942,s4260,s1015,s8642,s7599,s2979,s1149,s629,s2512,s5514,s320,s7811,s6231,s1175,s766,s4540,s2950,s878,s2624
s153,s4976,s3592,s5656,s5560,s5895,s2661,s3655,s2744,s4509,s6907,s6274,s7945,s4386,s6199,s3224,s2748,s7637,s8046,s7652,s7236
s154,s1893,s1953,s235,s1441,s6302,s7317,s1597,s2858,s8008,s8647,s2915,s2007,s535,s6259,s665,s5167,s3276,s2319,s2812,s4785
s155,s28,s8755,s3315,s6511,s3277,s2106,s5382,s7495,s1444,s306,s2030,s518,s6192,s7714,s554,s6063,s3628,s3285,s4665,s6340
s156,s3518,s5567,s3075,s8688,s4714,s5942,s7532,s8442,s8075,s6163,s6654,s5140,s1404,s449,s637,s7995,s5774,s5785,s2362,s4843
s157,s2597,s2446,s8132,s271,s7701,s3115,s2124,s1899,s6244,s5030,s7438,s7061,s7400,s3714,s541,s6993,s1357,s8792,s2986,s252
s158,s4446,s3467,s3312,s91,s7355,s2104,s4964,s8213,s3041,s4952,s3639,s3550,s3021,s2254,s4784,s3685,s6592,s312,s108,s3901
s159,s6495,s705,s386,s4771,s460,s4658,s6922,s334,s3317,s2504,s2834,s5974,s193,s3068,s4615,s2721,s741,s4685,s5599,s6026
s160,s7346,s6657,s5071,s7262,s8201,s8712,s7641,s3879,s7433,s4343,s6453,s5875,s3195,s1498,s3876,s1072,s8033,s7304,s1247,s5472
s161,s8708,s4179,s4528,s4128,s6698,s5622,s3726,s909,s5958,s8359,s4311,s1172,s7029,s8779,s1878,s1327,s4983,s4720,s2306,s3847
s162,s3959,s3459,s6433,s7353,s8352,s8420,s6814,s1495,s5092,s344,s937,s7282,s883,s119,s4257,s672,s4453,s3503,s1499,s8314
s163,s1634,s1690,s8450,s6074,s2724,s2722,s5596,s5111,s191,s1286,s2697,s7911,s356,s2201,s5419,s141,s2204,s3295,s8147,s4450
s164,s6104,s1796,s1856,s8108,s2638,s7746,s7579,s7704,s90,s3047,s367,s8320,s4905,s3178,s4171,s8219,s7429,s6523,s2955,s1298
s165,s658,s8054,s5870,s381,s8166,s8701,s1155,s1488,s2293,s7647,s8524,s2180,s5164,s5620,s3661,s5103,s3780,s5650,s5361,s3350
s166,s7596,s7134,s3146,s617,s8013,s4973,s229,s6727,s2945,s7721,s1806,s5073,s8389,s7819,s2961,s6577,s7336,s7944,s6094,s8175
s167,s3788,s8232,s7203,s7864,s6881,s79,s80,s2330,s6504,s2210,s209,s1783,s7086,s11,s7659,s4663,s198,s7188,s8468,s6842
s168,s2261,s2911,s7292,s1006,s4060,s1366,s7949,s3977,s1475,s3770,s4834,s958,s5402,s2182,s3910,s8436,s6828,s4341,s4142,s3143
s169,s5514,s7540,s4412,s328,s8159,s1319,s2926,s4881,s4907,s7811,s5603,s1175,s1955,s3782,s3634,s4151,s4425,s625,s598,s2161
s170,s5008,s3560,s2382,s7282,s5773,s5094,s1347,s8589,s4686,s5982,s5765,s1491,s7775,s6672,s2712,s3736,s625,s1010,s6395,s4653
s172,s4382,s2755,s6996,s1690,s6372,s744,s6975,s4846,s5509,s258,s1422,s3956,s2060,s5668,s5890,s5466,s775,s5636,s8772,s5958
s173,s8012,s616,s5172,s3655,s620,s1560,s2118,s5897,s6617,s4078,s3737,s3576,s6005,s2502,s1302,s2492,s4439,s6809,s621,s6182
s174,s3573,s4294,s5656,s3403,s1510,s2144,s5838,s605,s7527,s1661,s5057,s2679,s5414,s8800,s3354,s726,s6502,s3694,s1875,s7129
s175,s6149,s3936,s615,s8152,s6471,s7964,s5950,s3224,s1470,s7584,s6590,s8668,s3263,s6421,s6620,s2445,s1806,s1976,s8437,s1828
s176,s3103,s3550,s5550,s2128,s1705,s8094,s8152,s4511,s5650,s2079,s4056,s7492,s8794,s4040,s8509,s4812,s2631,s8360,s5594,s3390
s177,s5065,s1448,s7312,s3616,s2624,s7768,s6062,s1617,s7243,s6936,s2472,s3527,s6120,s7310,s6670,s2334,s5485,s1284,s3319,s6193
